"date","passages","hospitalisations"
"2014-12-03",1264,221
"2014-12-04",1169,244
"2014-12-05",1337,213
"2014-12-06",1298,218
"2014-12-07",1436,186
"2014-12-08",1464,222
"2014-12-09",1316,192
"2014-12-10",1259,214
"2014-12-11",1270,209
"2014-12-12",1392,215
"2014-12-13",1427,171
"2014-12-14",1384,142
"2014-12-15",1450,219
"2014-12-16",1292,227
"2014-12-17",1267,174
"2014-12-18",1162,246
"2014-12-19",1329,238
"2014-12-20",1321,200
"2014-12-21",1287,194
"2014-12-22",1321,244
"2014-12-23",1193,201
"2014-12-24",1183,202
"2014-12-25",1126,207
"2014-12-26",1438,277
"2014-12-27",1453,213
"2014-12-28",1134,183
"2014-12-29",1478,259
"2014-12-30",1326,217
"2014-12-31",1195,194
