"","3Fr","Alk","Ane","Col","Dia","Dts","Geb","Hag","Hus","Mul","Odi","Ros","Sav","Sel","Wis"
"2014-04-22",53,43,0,208,84,0,44,106,139,188,74,13,94,82,37
"2014-04-23",26,40,0,176,84,0,40,70,131,159,76,26,87,73,30
"2014-04-24",45,31,0,0,77,0,41,107,137,163,71,23,87,85,36
"2014-04-25",35,37,0,185,78,0,43,103,134,175,74,25,78,81,43
"2014-04-26",50,48,0,194,67,0,50,96,140,193,75,10,80,98,45
"2014-04-27",41,3,0,172,77,0,54,111,126,183,78,12,88,74,42
"2014-04-28",39,38,0,192,78,0,30,104,139,124,77,25,78,5,43
"2014-04-29",30,15,0,160,72,0,35,95,109,136,74,14,73,66,29
"2014-04-30",40,11,0,157,71,0,37,77,123,160,72,9,83,78,26
"2014-05-01",42,5,0,177,64,0,40,84,107,160,70,22,74,75,20
"2014-05-02",48,37,0,180,86,0,51,94,157,189,67,24,72,84,36
"2014-05-03",40,37,0,165,76,0,57,82,82,198,84,17,78,88,39
"2014-05-04",41,5,0,158,68,0,48,104,95,188,78,17,86,84,48
"2014-05-05",35,42,0,227,91,0,50,109,148,184,86,18,84,91,30
"2014-05-06",35,22,0,172,72,0,50,90,127,159,58,22,68,81,28
"2014-05-07",50,10,0,164,93,0,31,79,118,160,76,23,81,70,27
"2014-05-08",52,28,0,182,72,0,53,110,104,152,78,16,60,90,27
"2014-05-09",41,47,0,176,77,0,45,99,129,30,76,29,89,74,25
"2014-05-10",49,37,0,197,81,0,41,113,122,38,82,21,68,83,32
"2014-05-11",50,5,0,180,68,0,41,121,107,167,76,19,73,112,30
"2014-05-12",47,50,38,195,94,0,45,84,131,165,93,20,74,97,33
"2014-05-13",39,39,52,164,83,0,41,86,125,109,65,9,73,3,34
"2014-05-14",38,21,30,182,70,0,37,80,129,150,80,24,86,70,26
"2014-05-15",31,46,42,188,82,0,46,95,129,155,60,17,64,1,29
"2014-05-16",44,40,47,184,66,0,59,95,124,162,66,24,70,0,33
"2014-05-17",51,28,0,179,82,0,42,110,148,179,98,24,60,0,54
"2014-05-18",47,11,0,198,78,0,53,100,139,172,82,21,90,115,37
"2014-05-19",46,38,0,213,98,0,50,103,159,207,88,23,81,100,39
"2014-05-20",47,35,0,180,68,0,38,86,173,158,60,26,83,79,35
"2014-05-21",46,35,0,190,93,0,63,85,111,176,96,17,91,70,38
"2014-05-22",20,56,0,173,89,0,44,97,112,47,80,18,74,76,42
"2014-05-23",25,40,0,231,81,0,39,101,158,155,79,26,89,73,37
"2014-05-24",51,50,0,213,79,0,53,114,132,196,82,29,71,90,36
"2014-05-25",63,10,0,226,86,0,49,133,154,204,96,22,73,105,44
"2014-05-26",43,11,0,210,88,0,57,122,148,203,98,29,88,91,38
"2014-05-27",38,8,0,164,80,0,47,83,115,157,85,25,89,69,35
"2014-05-28",48,14,53,191,97,0,47,112,156,172,84,27,67,92,32
"2014-05-29",50,4,59,193,79,0,57,106,113,176,77,17,79,77,39
